type;price;priсePerEarthsquare;houseSquare;earthSquare;floors;place;URL
cottage;78000000;197468;395;22.3;4;Калужское шоссе;https://www.cian.ru/sale/suburban/248884179/
cottage;88500000;305172;290;17.58;2;Киевское шоссе;https://www.cian.ru/sale/suburban/256413509/
cottage;97007894;195976;495;20.0;2;Калужское шоссе;https://www.cian.ru/sale/suburban/238388603/
house;65655917;76755;855.4;20.1;2;Киевское шоссе;https://www.cian.ru/sale/suburban/249971632/
cottage;33500000;97101;345;10.0;2;Калужское шоссе;https://www.cian.ru/sale/suburban/264321673/
cottage;42800000;58231;735;24.0;;Киевское шоссе;https://www.cian.ru/sale/suburban/264886768/
cottage;72000000;128571;560;30.0;2;Калужское шоссе;https://www.cian.ru/sale/suburban/262526633/
cottage;240708120;240708;1000;95.57;2;Калужское шоссе;https://www.cian.ru/sale/suburban/238387572/
house;18900000;78750;240;8.5;2;Калужское шоссе;https://www.cian.ru/sale/suburban/262057642/
cottage;28500000;135714;210;8.0;;Киевское шоссе;https://www.cian.ru/sale/suburban/258985987/
cottage;31500000;143182;220;10.0;2;Калужское шоссе;https://www.cian.ru/sale/suburban/264177783/
house;50000000;83333;600;24.0;3;Калужское шоссе;https://www.cian.ru/sale/suburban/262056618/
cottage;115000000;266204;432;32.0;3;Калужское шоссе;https://www.cian.ru/sale/suburban/248884760/
cottage;60000000;40027;1499;16.0;;Киевское шоссе;https://www.cian.ru/sale/suburban/264886766/
cottage;100600779;201202;500;13.6;4;Калужское шоссе;https://www.cian.ru/sale/suburban/257088244/
cottage;129343859;155836;830;50.09;3;Калужское шоссе;https://www.cian.ru/sale/suburban/256058763/
cottage;28500000;135714;210;8.0;2;Киевское шоссе;https://www.cian.ru/sale/suburban/258856847/
house;52300000;174333;300;17.0;3;Калужское шоссе;https://www.cian.ru/sale/suburban/256820624/
cottage;17100000;132148;129.4;12.0;;Киевское шоссе;https://www.cian.ru/sale/suburban/264886761/
cottage;33500000;115517;290;10.0;3;Калужское шоссе;https://www.cian.ru/sale/suburban/265244567/
house;88500000;305172;290;19.0;2;Киевское шоссе;https://www.cian.ru/sale/suburban/255628795/
cottage;93400000;83133;1123.5;44.72;;Киевское шоссе;https://www.cian.ru/sale/suburban/264886764/
cottage;94600000;255676;370;14.0;3;Дмитровское шоссе;https://www.cian.ru/sale/suburban/242709129/
cottage;395217350;142678;2770;50.0;2;Калужское шоссе;https://www.cian.ru/sale/suburban/262526628/
cottage;25000000;40984;610;10.0;2;Калужское шоссе;https://www.cian.ru/sale/suburban/238189461/
cottage;100000000;222222;450;15.0;3;Киевское шоссе;https://www.cian.ru/sale/suburban/259399905/
cottage;119999990;200000;600;15.0;2;Минское шоссе;https://www.cian.ru/sale/suburban/259763779/
cottage;185000000;92500;2000;52.0;2;Киевское шоссе;https://www.cian.ru/sale/suburban/265383966/
cottage;215000000;366894;586;17.0;2;Киевское шоссе;https://www.cian.ru/sale/suburban/264459998/
house;49000000;136872;358;15.0;3;Калужское шоссе;https://www.cian.ru/sale/suburban/262772217/
house;24700000;73952;334;6.25;3;Калужское шоссе;https://www.cian.ru/sale/suburban/258034604/
house;59000000;173529;340;27.0;3;Киевское шоссе;https://www.cian.ru/sale/suburban/229676975/
cottage;135000000;300000;450;20.0;2;Киевское шоссе;https://www.cian.ru/sale/suburban/254419000/
